OPIS Truckstop ID,Truckstop Name,Address,City,State,Full Address,Latitude,Longitude,Rack ID,Retail Price
71794,KWIK TRIP #1174,US-51 & US-2,Ironwood,MI,KWIK TRIP #1174 Ironwood MI ,46.464375,-90.1674529,334,3.139
71794,KWIK TRIP #1174,US-51 & US-2,Ironwood,MI,KWIK TRIP #1174 Ironwood MI ,46.464375,-90.1674529,334,3.459
71794,KWIK TRIP #1174,US-51 & US-2,Ironwood,MI,KWIK TRIP #1174 Ironwood MI ,46.464375,-90.1674529,334,3.159
71794,KWIK TRIP #1174,US-51 & US-2,Ironwood,MI,KWIK TRIP #1174 Ironwood MI ,46.464375,-90.1674529,334,3.179
65974,BEACON & BRIDGE #13,"US-127, EXIT 117",Ithaca,MI,BEACON & BRIDGE #13 Ithaca MI ,43.2920782,-84.6054629,342,3.649
71300,SPEEDWAY #1407,"I-94, EXIT 145",Jackson,MI,SPEEDWAY #1407 Jackson MI ,42.277534,-84.303505,385,3.599
71300,SPEEDWAY #1407,"I-94, EXIT 145",Jackson,MI,SPEEDWAY #1407 Jackson MI ,42.277534,-84.303505,385,3.549
10168,Express Stop,"I-94, EXIT 145",Jackson,MI,Express Stop Jackson MI ,42.2775604,-84.3119107,385,3.589
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,D AVENUE FUEL PLAZA Kalamazoo MI ,42.376457,-85.650871,465,3.499
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,D AVENUE FUEL PLAZA Kalamazoo MI ,42.376457,-85.650871,465,3.099
65622,QUICK STOP #34,US-11/SR-1,Bristol,TN,QUICK STOP #34 Bristol TN ,36.569696,-82.19893,405,3.299
65624,Sudden Service #61,SR-149 & SR-46,Cumberland City,TN,Sudden Service #61 Cumberland City TN ,36.3689252,-87.6443353,460,3.564
65625,Chevron,US-64,Fayetteville,TN,Chevron Fayetteville TN ,35.1520266,-86.5705508,460,3.754
65629,CASEYS GOODSTOP #4036,"I-40, EXIT 355",Kingston,TN,CASEYS GOODSTOP #4036 Kingston TN ,35.8809084,-84.5085447,405,3.164
65639,SPEEDWAY #7138,"I-24, EXIT 70 & SR-102",Smyrna,TN,SPEEDWAY #7138 Smyrna TN ,35.9482735,-86.4876832,460,3.049
61042,CITGO,"US-131, EXIT 44",Kalamazoo,MI,CITGO Kalamazoo MI ,42.2896532,-85.5856279,465,3.499
71267,LOVES TRAVEL STOP #878,"US-131/SR-43, EXIT 44",Kalamazoo,MI,LOVES TRAVEL STOP #878 Kalamazoo MI ,42.3748361,-85.6595334,431,3.649
71267,LOVES TRAVEL STOP #878,"US-131/SR-43, EXIT 44",Kalamazoo,MI,LOVES TRAVEL STOP #878 Kalamazoo MI ,42.3748361,-85.6595334,431,3.589
71267,LOVES TRAVEL STOP #878,"US-131/SR-43, EXIT 44",Kalamazoo,MI,LOVES TRAVEL STOP #878 Kalamazoo MI ,42.3748361,-85.6595334,431,3.689
